Title,Issue,Journal,Abstract,Link,Author1,Author2,Author3,Author4,Author5,Author6,Author7,Author8,Author9,Author10,Author11,Author12,Author13,Author14,Author15,Author16,Author17,Author18,Author19,Author20,JEL1,JEL2,JEL3,JEL4,JEL5,JEL6,JEL7,JEL8,JEL9,JEL10,JEL11,JEL12,JEL13,JEL14,JEL15,JEL16,JEL17,JEL18,JEL19,JEL20
Monitor Reputation and Transparency,"VOL. 15, NO. 4, NOVEMBER 2023",AMERICAN ECONOMIC JOURNAL: MICROECONOMICS,"We study the disclosure policy of a regulator overseeing a monitor with reputation concerns. The monitor faces a manager, who chooses how much to manipulate based on the monitor's reputation. Reputational incentives are strongest for intermediate reputations. Instead of providing transparency, the regulator's disclosure policy aims to keep the monitor's reputation intermediate, even at the cost of diminished incentives. Beneficial schemes feature random delay or noisy information. Schemes that feature verifiable disclosure destroy reputational incentives. The regulator discloses more aggressively when she has better enforcement tools.",https://www.aeaweb.org/articles?id=10.1257/mic.20220006,Iván Marinovic,Martin Szydlowski,,,,,,,,,,,,,,,,,,,D82,D83,G21,G28,G38,M42,,,,,,,,,,,,,,
Multihoming and Oligopolistic Platform Competition,"VOL. 15, NO. 4, NOVEMBER 2023",AMERICAN ECONOMIC JOURNAL: MICROECONOMICS,"We provide a general framework to analyze competition between any number of symmetric two-sided transaction platforms, in which buyers and sellers can multihome. We show how key primitives such as the number of platforms, the fraction of buyers that find multihoming costly, the value of transactions, and the degree of user heterogeneity jointly determine the level and structure of platform fees. Even though platform entry always reduces the total fee level, whether it shifts the fee structure in favor of buyers or sellers depends on whether most of the buyers are singlehoming or multihoming.",https://www.aeaweb.org/articles?id=10.1257/mic.20210324,Tat-How Teh,Chunchun Liu,Julian Wright,Junjie Zhou,,,,,,,,,,,,,,,,,D43,L11,L13,L40,,,,,,,,,,,,,,,,
Using Team Discussions to Understand Behavior in Indefinitely Repeated Prisoner's Dilemma Games,"VOL. 15, NO. 4, NOVEMBER 2023",AMERICAN ECONOMIC JOURNAL: MICROECONOMICS,"We compare behavior of two person teams with individuals in indefinitely repeated prisoner dilemma games with perfect monitoring. Team discussions are used to understand the rationale underlying these choices and how these choices come about. There are three main findings: (i) Teams learned to cooperate faster than individuals, and cooperation was more stable for teams. (ii) Strategies identified from team dialogues differ from those identified by the Strategy Frequency Estimation Method. This reflects the improvisational nature of teams' decision making. (iii) Increasing cooperation was primarily driven by teams unilaterally cooperating in the hope of inducing their opponent to cooperate.",https://www.aeaweb.org/articles?id=10.1257/mic.20210012,David J. Cooper,John H. Kagel,,,,,,,,,,,,,,,,,,,C72,C73,C92,,,,,,,,,,,,,,,,,
Supervised Machine Learning for Eliciting Individual Demand,"VOL. 15, NO. 4, NOVEMBER 2023",AMERICAN ECONOMIC JOURNAL: MICROECONOMICS,"The canonical direct-elicitation approach for measuring individuals' valuations for goods is the Becker-DeGroot-Marschak procedure, which generates willingness-to-pay (WTP) values that are imprecise and systematically biased. We show that enhancing elicited WTP values with supervised machine learning (SML) can improve estimates of peoples' out-of-sample purchase behavior. Furthermore, swapping WTP data with choice data generated from a simple task leads to comparable performance. We quantify the benefit of using various SML methods in conjunction with using different types of data. Our results suggest that prices set by SML would increase revenue by 29 percent over using the stated WTP, with the same data.",https://www.aeaweb.org/articles?id=10.1257/mic.20210069,John A. Clithero,Jae Joon Lee,Joshua Tasoff,,,,,,,,,,,,,,,,,,C45,C91,D12,,,,,,,,,,,,,,,,,
Smaller Slices of a Growing Pie: The Effects of Entry in Platform Markets,"VOL. 15, NO. 4, NOVEMBER 2023",AMERICAN ECONOMIC JOURNAL: MICROECONOMICS,"Entry of new firms onto a platform has an ambivalent effect on the incumbent firms operating on the platform: the main tension lies between the negative effects of increased competitive pressure and positive indirect network effects. This paper empirically studies the net effect of these countervailing forces and its dependence on firm quality, using a quasi-exogenous shock on a large online platform. On average, market expansion favors incumbents, though the average effect masks substantial heterogeneity: high-quality incumbents experience significant increases in sales and revenue, whereas low-quality firms perform unambiguously worse. Lastly, the paper explores the main mechanisms and firms' responses.",https://www.aeaweb.org/articles?id=10.1257/mic.20220055,Oren Reshef,,,,,,,,,,,,,,,,,,,,D22,D85,L14,L15,L84,,,,,,,,,,,,,,,
Monopolistic Competition and Efficiency under Firm Heterogeneity and Nonadditive Preferences,"VOL. 15, NO. 4, NOVEMBER 2023",AMERICAN ECONOMIC JOURNAL: MICROECONOMICS,"We consider the single-sector version of the Melitz-Ottaviano model of monopolistic competition with heterogeneous firms. We characterize the first-best and market allocations. We find that the market provides the first-best level of entry but too little selection; hence, the market provides too many varieties and too little aggregate quantity, and allocates too little (much) production to low (high) cost realizations. Allowing for a broad family of quantity allocation functions, we establish sufficient conditions for the global optimality of the first-best solution. Several important extensions are also examined.",https://www.aeaweb.org/articles?id=10.1257/mic.20210099,Kyle Bagwell,Seung Hoon Lee,,,,,,,,,,,,,,,,,,,D21,D43,D50,D60,,,,,,,,,,,,,,,,
Evaluating the Impact of Online Market Integration—Evidence from the EU Portable PC Market,"VOL. 15, NO. 4, NOVEMBER 2023",AMERICAN ECONOMIC JOURNAL: MICROECONOMICS,"We develop a framework to evaluate the impact of market integration, accounting for spillovers between multiple distribution channels. We adapt the standard random coefficients logit demand model to allow for substitution between channels and consumer arbitrage across countries. We apply our framework to the European portable PC market, where geoblocking practices that restrict online cross-border trade have recently been banned. Consumers in high income countries gain most from price convergence, while consumers in other countries may be worse off. The total consumer and welfare gains from online market integration are more modest and mainly due to increased product choice rather than reduced price discrimination.",https://www.aeaweb.org/articles?id=10.1257/mic.20200254,Néstor Duch-Brown,Lukasz Grzybowski,André Romahn,Frank Verboven,,,,,,,,,,,,,,,,,F13,F14,L13,L63,L81,,,,,,,,,,,,,,,
Slope Takers in Anonymous Markets,"VOL. 15, NO. 4, NOVEMBER 2023",AMERICAN ECONOMIC JOURNAL: MICROECONOMICS,"We present a learning-based selection argument for Linear Bayesian Nash equilibrium in a Walrasian auction. Endowments vary stochastically; traders model residual supply as linear, estimate its slope from past trade data, and periodically update these estimates. In the standard setting with quadratic preferences, we show that this learning process converges to the unique LBN. Anonymity and statistical learning therefore support this commonly used equilibrium selection rule.",https://www.aeaweb.org/articles?id=10.1257/mic.20220078,Daniel Quint,Marek Weretka,,,,,,,,,,,,,,,,,,,D43,D44,D83,,,,,,,,,,,,,,,,,
A Model of Sequential Crisis Management,"VOL. 15, NO. 4, NOVEMBER 2023",AMERICAN ECONOMIC JOURNAL: MICROECONOMICS,"We propose a model of how multiple societies respond to a common crisis. A government faces a ""damned-either-way"" policymaking dilemma: aggressive intervention contains the crisis, but the resulting good outcome makes people skeptical about the costly response; light intervention worsens the crisis and causes the government to be faulted for not doing enough. When multiple societies encounter the crisis sequentially, due to this policymaking dilemma, late societies may underperform despite having more information, while early societies can benefit from a dynamic counterfactual effect.",https://www.aeaweb.org/articles?id=10.1257/mic.20220107,Fei Li,Jidong Zhou,,,,,,,,,,,,,,,,,,,D72,D82,D83,H12,,,,,,,,,,,,,,,,
Trade-ins and Transaction Costs in the Market for Used Business Jets,"VOL. 15, NO. 4, NOVEMBER 2023",AMERICAN ECONOMIC JOURNAL: MICROECONOMICS,"Manufacturers of durable goods can encourage consumers facing transaction costs to upgrade by accepting used units as trade-ins. These ""buyback schemes"" increase demand for new units, but increase the supply of used units if trade-ins are resold. I investigate the equilibrium effects of buyback schemes in the market for business jets. I find that buyback increases manufacturer revenue by 7.2 percent at fixed prices. However, in equilibrium this revenue gain is diminished by 43 percent due to substitution away from new jets among first time buyers. I show how the size of this cannibalization effect depends on preference heterogeneity.",https://www.aeaweb.org/articles?id=10.1257/mic.20190325,Charles Hodgson,,,,,,,,,,,,,,,,,,,,D23,G34,L13,L62,,,,,,,,,,,,,,,,
Competition for Attention and News Quality,"VOL. 15, NO. 3, AUGUST 2023",AMERICAN ECONOMIC JOURNAL: MICROECONOMICS,"Over the past decades the number of news outlets has increased dramatically, but the quality of news products has declined. We propose a model to reconcile these facts where consumers' attention allocation decisions not only depend on but also affect news outlets' quality choices. When competition is intensified by new entries, the informativeness of the news industry rises. Thus, attention is diverted from existing outlets, reducing their incentives to improve news quality, which begets a downward spiral. Furthermore, when attention becomes cheaper, a larger number of news outlets can be accommodated in equilibrium, but news quality still falls.",https://www.aeaweb.org/articles?id=10.1257/mic.20210259,Heng Chen,Wing Suen,,,,,,,,,,,,,,,,,,,D83,L15,L82,,,,,,,,,,,,,,,,,
Working for References,"VOL. 15, NO. 3, AUGUST 2023",AMERICAN ECONOMIC JOURNAL: MICROECONOMICS,"We analyze the incentive and welfare consequences of job references in a large economy marked by moral hazard, limited liability, exogenous job separation, and structural unemployment. In the firm-optimal equilibrium, employers provide references whenever production is successful, and workers holding references are hired with certainty in the ensuing period. Compared to a setting without references: the bonus-contract offers are lower, yet the workers' equilibrium effort is higher. Profits and welfare are higher, yet aggregate worker welfare is lower. Also, firms do not fully internalize the incentive effect of references and could typically increase profits and welfare by jointly raising bonuses.",https://www.aeaweb.org/articles?id=10.1257/mic.20210299,Samuel Häfner,Curtis R. Taylor,,,,,,,,,,,,,,,,,,,D82,D86,E24,J33,J41,L25,M51,,,,,,,,,,,,,
Self-Reported Signaling,"VOL. 15, NO. 3, AUGUST 2023",AMERICAN ECONOMIC JOURNAL: MICROECONOMICS,"In many real-world settings, an action that affects the value of a product or service is self-reported rather than publicly observable. We investigate self-reporting when self-reports serve as a signal of sender productivity. In our model, a sender chooses an action and then sends a message concerning the action to multiple receivers. Receivers then bid for the sender's service after deciding whether to audit the sender. We find that self-reporting can reverse the standard result in signaling models that there is overinvestment in the action and that the possibility of misrepresentation may in fact improve welfare given self-reported signaling.",https://www.aeaweb.org/articles?id=10.1257/mic.20210204,Thomas Jungbauer,Michael Waldman,,,,,,,,,,,,,,,,,,,D82,D83,I23,I26,J24,,,,,,,,,,,,,,,
Information Spillover in Multi-good Adverse Selection,"VOL. 15, NO. 3, AUGUST 2023",AMERICAN ECONOMIC JOURNAL: MICROECONOMICS,"This paper analyzes information spillover in a multi-good adverse selection model in which a privately informed seller trades two different goods in two different markets. Buyers learn the seller's information from both the market they participate in and the trading outcomes in the other market. We identify a sufficient negative correlation condition under which information spillover reduces efficiency loss. We also discover a novel type of coordination friction that leads to multiple equilibria, which can be welfare-ranked by the number of initial no-trade periods. When the sufficient negative correlation condition fails, the efficiency loss is the same as in the case without information spillover.",https://www.aeaweb.org/articles?id=10.1257/mic.20190287,Bingchao Huangfu,Heng Liu,,,,,,,,,,,,,,,,,,,D82,D83,L15,,,,,,,,,,,,,,,,,
A Buyer Power Theory of Exclusive Dealing and Exclusionary Bundling,"VOL. 15, NO. 3, AUGUST 2023",AMERICAN ECONOMIC JOURNAL: MICROECONOMICS,"We develop a unified theory of exclusive dealing and exclusionary bundling. In a framework with two competing manufacturers that supply their product(s) through a monopolist retailer, we show that buyer power restores the profitability of such practices involving inefficient exclusion. The mechanism underlying this exclusion is that the compensation required by the retailer to renounce selling the rival product erodes with its buyer power. We further show that our theory holds when buyer power differs across manufacturers or when the retailer can strategically narrow (or expand) its product assortment.",https://www.aeaweb.org/articles?id=10.1257/mic.20210191,Claire Chambolle,Hugo Molina,,,,,,,,,,,,,,,,,,,D42,D43,K21,L42,L60,L81,,,,,,,,,,,,,,
Equilibrium Screening and Categorical Inequality,"VOL. 15, NO. 3, AUGUST 2023",AMERICAN ECONOMIC JOURNAL: MICROECONOMICS,"We analyze equilibrium outcomes under costly screening of candidates from distinct categories. Candidates choose how much effort to invest in skill acquisition, and the screener decides how carefully to screen each candidate. Typically, there are multiple equilibria, and ex ante identical individuals in different categories can receive different equilibrium treatment. The imposition of a quota for an initially disadvantaged group can result in increased screening intensity and skill investment by destabilizing the least active equilibrium. The endogeneity of screening enables powerful comparative statics, which we use to unify different strands in the literature on discrimination.",https://www.aeaweb.org/articles?id=10.1257/mic.20210391,Mogens Fosgerau,Rajiv Sethi,Jörgen Weibull,,,,,,,,,,,,,,,,,,D63,D82,D83,J24,J31,J71,M51,,,,,,,,,,,,,
Judicial Mechanism Design,"VOL. 15, NO. 3, AUGUST 2023",AMERICAN ECONOMIC JOURNAL: MICROECONOMICS,"This paper proposes a mechanism-design approach to study criminal justice systems. We derive properties of optimal mechanisms for two notions of welfare distinguished by their treatment of deterrence. These properties provide insights into the effects of defendants' private information about their guilt; highlight forces that may underlie certain features of existing systems, such as plea bargaining and binary verdicts and the separation of fact-finding and sentencing; and indicate directions for possible improvements of criminal trials, such as varying the standard for conviction across crimes.",https://www.aeaweb.org/articles?id=10.1257/mic.20220100,Ron Siegel,Bruno Strulovici,,,,,,,,,,,,,,,,,,,D82,K41,K42,,,,,,,,,,,,,,,,,
Influence Campaigns,"VOL. 15, NO. 3, AUGUST 2023",AMERICAN ECONOMIC JOURNAL: MICROECONOMICS,"Firms and politicians, among others, invest heavily to influence people's opinions. Because peers influence one another, these efforts must account for social networks. Using a model of opinion dynamics with a non-degenerate steady state, I develop a new measure of influence, and I highlight how opinion fluctuations impact influence campaigns. If agents interact less frequently with those holding different opinions, the variance of public opinion decreases. Consequently, a risk-averse planner focuses on persuading a large majority of agents in a small set of tightly knit groups, while a risk-loving planner makes much broader appeals.",https://www.aeaweb.org/articles?id=10.1257/mic.20210387,Evan Sadler,,,,,,,,,,,,,,,,,,,,D11,D72,D83,D85,Z13,,,,,,,,,,,,,,,
The Dynamics of Property Rights in Modern Autocracies,"VOL. 15, NO. 3, AUGUST 2023",AMERICAN ECONOMIC JOURNAL: MICROECONOMICS,"We study a dynamic model of property appropriation in autocracies. To maintain the appearance of the rule of law, an autocrat reassigns property only when the reassignment is acceptable to all affected citizens. Nevertheless, the autocrat can appropriate public and private property by exploiting enforcement gaps. After an adjustment period, wealth shares of public property and the private property of out-groups decline. The model rationalizes the connection between wealth inequality and privatization in many autocracies. Calibrating to Russian and Chinese data, simulations to mid-twenty-first century display widening wealth gaps between elites and the populace. Anocracies mitigate this outcome.",https://www.aeaweb.org/articles?id=10.1257/mic.20210229,Dan Cao,Roger Lagunoff,,,,,,,,,,,,,,,,,,,D31,D72,K11,L33,O17,P26,P36,,,,,,,,,,,,,
Similarity Nash Equilibria in Statistical Games,"VOL. 15, NO. 3, AUGUST 2023",AMERICAN ECONOMIC JOURNAL: MICROECONOMICS,"A statistical game is a game in which strategic interaction is mediated via a binary outcome y, coupled with a prediction problem where a characteristic x of the game may be used to predict its outcome y based on past values of (x, y). In Similarity Nash Equilibria, players combine statistical and strategic reasoning, using an estimate of y as a coordination device. They predict y by its similarity-weighted frequency and learn the optimal notion of similarity from the data. We prove that the model captures the importance of precedents and the endogenous formation of sunspots.",https://www.aeaweb.org/articles?id=10.1257/mic.20220049,Rossella Argenziano,Itzhak Gilboa,,,,,,,,,,,,,,,,,,,C72,C73,,,,,,,,,,,,,,,,,,
Bargaining over Treatment Choice under Disagreement,"VOL. 15, NO. 3, AUGUST 2023",AMERICAN ECONOMIC JOURNAL: MICROECONOMICS,"A group of experts with different prior beliefs must choose a treatment. A dataset is made public and leads to revisions of beliefs. We propose a model where the experts' disagreements are resolved through bargaining, using the Nash bargaining solution. Experts bargain after disclosure of the dataset. Bargaining may lead to an inefficient use of information in a strong sense: experts receive a lower payoff in every state and for any prior belief (i.e., inadmissibility). Bargaining exhibits underreaction to information as compared to the normative solution in which experts bargain ex ante on the procedure used to exploit the data.",https://www.aeaweb.org/articles?id=10.1257/mic.20210392,Nabil I. Al-Najjar,Robert J. Gary-Bobo,,,,,,,,,,,,,,,,,,,C78,D82,D83,,,,,,,,,,,,,,,,,
Bid Caps in Noisy Contests,"VOL. 15, NO. 3, AUGUST 2023",AMERICAN ECONOMIC JOURNAL: MICROECONOMICS,"This paper studies optimal bid caps in a multiplayer noisy contest in which a higher bid does not guarantee a sure win. The bid cap can be either rigid or flexible. The former imposes outright bidding restrictions on players' bids, while the latter taxes bids. A designer structures the bid cap to maximize a weighted sum between aggregate bid and tax revenue. Our analysis characterizes the optimum. A rigid bid is always outperformed by flexible ones, and a laissez-faire policy—i.e., no cap—is optimal when the designer maximizes the aggregate bid. The results also generate novel practical implications.",https://www.aeaweb.org/articles?id=10.1257/mic.20220046,Qiang Fu,Zenan Wu,Yuxuan Zhu,,,,,,,,,,,,,,,,,,C72,D44,D82,,,,,,,,,,,,,,,,,
"Keeping Up with ""The Joneses"": Reference-Dependent Choice with Social Comparisons","VOL. 15, NO. 3, AUGUST 2023",AMERICAN ECONOMIC JOURNAL: MICROECONOMICS,"Keeping up with ""The Joneses"" matters. This paper examines a model of reference-dependent choice where reference points are determined by social comparisons. An increase in the strength of social comparisons, even by only a few agents, increases consumption and decreases welfare for everyone. Strikingly, a higher marginal cost of consumption can increase welfare. In a labor market, social comparisons with coworkers create a big fish in a small pond effect, inducing incomplete labor market sorting. Further, it is the skilled workers with the weakest social networks who are induced to give up income to become the big fish.",https://www.aeaweb.org/articles?id=10.1257/mic.20220088,Alastair Langtr,,,,,,,,,,,,,,,,,,,,D85,J22,J24,J61,,,,,,,,,,,,,,,,
Disclosure in Markets for Ratings,"VOL. 15, NO. 3, AUGUST 2023",AMERICAN ECONOMIC JOURNAL: MICROECONOMICS,"We study the implications of the disclosure regime of ratings on the level of information released to the public. Specifically, we compare mandatory and voluntary disclosure. We analyze a model where the potential issuers are initially endowed with homogeneous soft information about their values before paying to acquire ratings. We find that for every accuracy level of the issuers' initial information, voluntary disclosure results in a more informative equilibrium than mandatory disclosure. This finding identifies a dimension in which the existing European Union regulations that impose the mandatory disclosure of ratings may lead to a loss of information to the public.",https://www.aeaweb.org/articles?id=10.1257/mic.20210214,Ran Weksler,Boaz Zik,,,,,,,,,,,,,,,,,,,D21,D42,D43,D82,D83,G24,,,,,,,,,,,,,,
Decreasing Impatience,"VOL. 15, NO. 3, AUGUST 2023",AMERICAN ECONOMIC JOURNAL: MICROECONOMICS,"We characterize decreasing impatience, a common behavioral phenomenon in intertemporal choice. Discount factors that display decreasing impatience are characterized through a convexity axiom for investments at fixed interest rates. Then we show that they are equivalent to a geometric average of generalized quasi-hyperbolic discount rates. Finally, they emerge through parimutuel preference aggregation of exponential discount factors.",https://www.aeaweb.org/articles?id=10.1257/mic.20210361,Christopher P. Chambers,Federico Echenique,Alan D. Miller,,,,,,,,,,,,,,,,,,D15,D61,D91,,,,,,,,,,,,,,,,,
Bounds on a Slope from Size Restrictions on Economic Shocks,"VOL. 15, NO. 3, AUGUST 2023",AMERICAN ECONOMIC JOURNAL: MICROECONOMICS,"We study the problem of learning about the effect of one market-level variable (e.g., price) on another (e.g., quantity) in the presence of shocks to unobservables (e.g., preferences). We show that economic intuitions about the plausible size of the shocks can be informative about the parameter of interest. We illustrate with a main application to the grain market.",https://www.aeaweb.org/articles?id=10.1257/mic.20210365,Marco Stenborg Petterson,David Seim,Jesse M. Shapiro,,,,,,,,,,,,,,,,,,D83,E23,G13,Q11,,,,,,,,,,,,,,,,
Dynamic Privacy Choices,"VOL. 15, NO. 2, MAY 2023",AMERICAN ECONOMIC JOURNAL: MICROECONOMICS,"I study a dynamic model of consumer privacy and platform data collection. In each period consumers choose their level of platform activity. Greater activity generates more information about the consumer, thereby increasing platform profits. When the platform can commit to the future privacy policy, it collects information by committing to gradually decreasing the level of privacy protection. In the long run consumers lose privacy and receive low payoffs but choose high activity levels. In contrast, the platform with weaker commitment power may attain the commitment outcome or fail to collect any data depending on consumer expectations regarding future privacy protection.",https://www.aeaweb.org/articles?id=10.1257/mic.20210100,Shota Ichihashi,,,,,,,,,,,,,,,,,,,,C93,D11,D82,D83,D84,L86,,,,,,,,,,,,,,
